,SW.ID,SearchID,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,Abstract,Language,Document.Type,Open.Access,Database,Exclusion.Criteria,Region,Scale...Spatial..m.,Scale...Temporal,Resolution...Spatial..m.,Resolution...Temporal,Sampling.Method.used.for.data.collection,Analytical.method.used.for.inference,Quality...Spatial..relative.1.3.,Quality...Temporal,Quality...Methods,Concluding.statement.or.quotable.quote,Comments,Species,Life.stage,Environmental.Drivers.,Process,Metric,Direction.of.relationship,Strength.of.relationships,Additional.info.about.response,Driverscategory
14,n3_sco.582,n_sco.582,"Maravelias C.D., Reid D.G.",Identifying the effects of oceanographic features and zooplankton on prespawning herring abundance using generalized additive models,1997,Marine Ecology Progress Series,147,1-Mar,1,9,10.3354/meps147001,NA,"Spatial distribution patterns of prespawning herring were analyzed in relation to zooplankton biomass, sea-surface temperature and salinity, temperature and depth of the thermocline (fronts) and the temperature difference between surface and bottom water. Data were collected in midsummer 1995 during the ICES coordinated herring acoustic survey of the ICES Division IVa. We used generalized additive models (GAMs), nonparametric generalization of multiple linear regression, to test the hypothesis that prespawning herring distribution is related to zooplankton availability and the oceanography around the Shetland Islands (UK), with particular reference to inflows from the Slope Current. The results of this study supported this hypothesis. We found that zooplankton biomass and the location of ocean fronts influence the distribution of prespawning herring. Mean herring abundance was consistently highest in areas having a surface salinity of 35.1 ppt and where the zooplankton abundances were higher. Results indicated that herring appeared to prefer the well-mixed waters and transition zones and avoided the stratified and frontal areas. The present results also suggested that prespawning aggregations of herring followed the movements of zooplankton to deeper and cooler waters beneath the thermocline during summer. Waters with specific salinity and temperature properties are attractive to herring due to the process of frontal mixing which enhances primary and secondary production. These waters are ultimately linked with the Slope Current which is responsible for the advection of warm, nutrient-rich, saline water into the North Sea ecosystem.",English,Article,"All Open Access, Bronze",Scopus,K,North Sea - CS,">100,000",two week,"1,000-5,000",NA,Active Acoustic Sampling Survey,GAM,3,1,2,NA,NA,Clupea harengus,adults,Other,Biomass,Biomass as determined by haul-validated acoustic survey,Optimal-type response,Small,Thermocline depth (indicating preference for more mixed water columns),Other
15,n3_sco.62,n_sco.62,"Huebert K.B., Pätsch J., Hufnagl M., Kreus M., Peck M.A.",Modeled larval fish prey fields and growth rates help predict recruitment success of cod and anchovy in the North Sea,2018,Marine Ecology Progress Series,600,,111,126,10.3354/meps12615,NA,"We introduce a new, coupled modeling approach for simulating ecosystem-wide patterns in larval fish foraging and growth. An application of the method reveals how interplay between temperature and plankton dynamics during 1970−2009 impacted a cold-water species (Atlantic cod Gadus morhua) and a warm-water species (European anchovy Engraulis encrasicolus) in the North Sea. Larval fish growth rates were estimated by coupling models depicting trait-based foraging and bioenergetics of individuals, spatiotemporal changes in their prey field, and the biogeochemistry and hydrodynamics of the region. The biomass composition of modeled prey fields varied from 89% nano-, 10% micro-, and 1% mesoplankton to 15% nano-, 20% micro-, and 65% mesoplankton. The mean slope of the normalized biomass size spectrum was near −1.2, consistent with theoretical and empirical estimates. Median larval fish growth rates peaked in June for cod (24% d−1) and in July for anchovy (17% d−1). Insufficient prey resources played a substantial role in limiting the growth rates of cod larvae. Anchovy were consistently limited by cold temperatures. Faster median larval growth during specific months was significantly (p &lt; 0.05) positively associated with detrended (i.e. higher than expected) juvenile recruitment indices in cod (rank correlation Kendall’s tau = 22%) and anchovy (tau = 42%). For cod, the most predictive month was February, which was also when food limitation was most prevalent. The continued development of modeling tools based on first principles can help further a mechanistic understanding of how changes in the environment affect the productivity of living marine resources. © The authors 2018.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,">100,000",multidecadal,NA,month,Simulated dynamics,"Coupled Biogeochemical, hydrological and IBM models",NA,NA,2,NA,NA,Engraulis encrasicolus,"early life stages (eggs, larvae)",Temperature,Growth,average modelled growth from IBM,Overall negative response,Medium,NA,TEMPERATURE
16,n3_sco.62,n_sco.62,"Huebert K.B., Pätsch J., Hufnagl M., Kreus M., Peck M.A.",Modeled larval fish prey fields and growth rates help predict recruitment success of cod and anchovy in the North Sea,2018,Marine Ecology Progress Series,600,,111,126,10.3354/meps12615,NA,"We introduce a new, coupled modeling approach for simulating ecosystem-wide patterns in larval fish foraging and growth. An application of the method reveals how interplay between temperature and plankton dynamics during 1970−2009 impacted a cold-water species (Atlantic cod Gadus morhua) and a warm-water species (European anchovy Engraulis encrasicolus) in the North Sea. Larval fish growth rates were estimated by coupling models depicting trait-based foraging and bioenergetics of individuals, spatiotemporal changes in their prey field, and the biogeochemistry and hydrodynamics of the region. The biomass composition of modeled prey fields varied from 89% nano-, 10% micro-, and 1% mesoplankton to 15% nano-, 20% micro-, and 65% mesoplankton. The mean slope of the normalized biomass size spectrum was near −1.2, consistent with theoretical and empirical estimates. Median larval fish growth rates peaked in June for cod (24% d−1) and in July for anchovy (17% d−1). Insufficient prey resources played a substantial role in limiting the growth rates of cod larvae. Anchovy were consistently limited by cold temperatures. Faster median larval growth during specific months was significantly (p &lt; 0.05) positively associated with detrended (i.e. higher than expected) juvenile recruitment indices in cod (rank correlation Kendall’s tau = 22%) and anchovy (tau = 42%). For cod, the most predictive month was February, which was also when food limitation was most prevalent. The continued development of modeling tools based on first principles can help further a mechanistic understanding of how changes in the environment affect the productivity of living marine resources. © The authors 2018.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,">100,000",multidecadal,NA,month,Simulated dynamics,"Coupled Biogeochemical, hydrological and IBM models",NA,NA,2,NA,NA,Gadus morhua,"early life stages (eggs, larvae)",Prey availability,Growth,average modelled growth from IBM,Overall positive response,Small,NA,FOOD
20,n3_sco.698,n_sco.698,Burd A.C.,Recent changes in the central and southern North Sea herring stocks.,1985,Canadian Journal of Fisheries and Aquatic Sciences,42,1,192,206,10.1139/f85-274,NA,"Since 1980 there has been a sudden recovery of recruitment to the central and southern North Sea Clupea harengus stocks (Bank and Downs, respectively). In contrast, recruitment to the northern North Sea has continued at a low level and spawning stock biomass has even declined since 1979. Evidence of density-dependent growth change is considered together with the recent data on fecundity and larval herring production. If the separate stocks are to be managed individually for maximum yield, then global North Sea regulations such as a total allowable catch and size regulation are inappropriate. Regulations must also take into consideration the seasonal distributions of the stocks. This would lead, in particular, to more restrictive and specific regulation of the industrial fisheries. -from Author",English,Article,,Scopus,K,North Sea - CS,">100,000",multidecadal,NA,year,Regular Fisheries Independent Survey,Linear regression,1,1,1,NA,NA,Clupea harengus,juveniles,Density dependence,Growth,Size at age vs total stock biomass two years prior,Overall negative response,Large,NA,COMPETITION & DENSITY DEPENDENCE
21,n3_sco.735,n_sco.735,"Kinne O., Rosenthal H.","Effects of sulfuric water pollutants on fertilization, embryonic development and larvae of the herring, Clupea harengus",1967,Marine Biology,1,1,65,83,10.1007/BF00346697,NA,"Using herring (Clupea harengus) eggs and larvae from ""Baltic spring spawners"", the biological effects of sulfuric pollutants (largely FeSO4 and H2SO4) which are scheduled to be released daily into the North Sea in large quantities, have been tested. Dilutions (1:8000, 1:16000, 1:24000 and 1:32000) of the sulfuric pollutants were used as ""test media"". Throughout all experiments water temperature was maintained at 8.0°±0.2°C, salinity near 16.5‰; eggs were artificially fertilized 1 or 6 to 7 h after catching the parent individuals and, attached to glass plates, incubated in 1 l aerated containers. In all test media brownish precipitates, which resulted from diluting the sulfuric pollutants with 50% sea water, tend to adhere to the egg surfaces, thereby possibly interfering with gaseous and other exchanges between egg and surrounding medium. Under conditions of maximum test medium effectiveness, percentages of successful fertilization and of egg survival are considerably reduced; diameter of fertilized eggs remains smaller; embryonic growth rate is retarded while the heart frequency tends to increase (indicating physiological stress); duration of incubation is shortened: percentage of successful hatching decreases and structural abnormalities of freshly hatched larvae increases. Dilutions down to 1:24000 and 1:32000 have rather limited effects. Exposure of 1 to 3 day old, healthy herring larvae to the 4 test media leads to failure of performing prey catching manoeuvres in 1:32000 and 1:24000, to impaired locomotory performances in 1:16000, and practically to paralysis, shrinkage, permanently bent bodies and death within a few days in 1:8000. Although the present study needs deepening through further and more detailed experiments, it can be said that the pollutants under consideration represent a danger to herring eggs and larvae at least up to a dilution of 1:32000. © 1967 Springer-Verlag.",English,Article,,Scopus,K,Baltic Sea - CS,0-5,two week,NA,day,NA,Counts,1,1,1,NA,NA,Clupea harengus,"early life stages (eggs, larvae)",Contaminants & Pollution,Survival,survival to hatching,Overall negative response,Large,NA,ABIOTIC ANTHROPIC
22,w3_sco.101,w_sco.101,"Delegrange A., Vincent D., Courcot L., Amara R.",Testing the vulnerability of juvenile sea bass (Dicentrarchus labrax) exposed to the harmful algal bloom (HAB) species Pseudo-nitzschia delicatissima,2015,Aquaculture,437,,167,174,10.1016/j.aquaculture.2014.11.023,NA,"A 45-day exposure experiment was carried out to assess whether the harmful algal blooming Pseudo-nitzschia delicatissima (i.e. needle shaped diatom and potential domoic acid producer) is involved in recurrent mass mortality events at a coastal fish farm in the southern North Sea. Juvenile sea bass (Dicentrarchus labrax) were exposed to different concentrations of P. delicatissima, ranging from 1×106 to 5×106cellsL-1. Despite exposure to high concentrations of P. delicatissima, sea bass weight and length based growth rates (0.05±0.02gd-1 and 0.18±0.05mmd-1, respectively) and condition (Fulton K=0.98±0.06mgmm-3) were not significantly reduced suggesting that the fish were not affected during the 45-day exposure period. However, signs of gill mucosa irritation (i.e. mucus overproduction) were observed, showing that this diatom induced a mechanical stress, which can affect gill functions or increase susceptibility of fish to secondary infections (e.g. bacterial and viral infections, parasitism). Results are discussed with regard to consequences for wild and farmed fish, and possible synergic noxious effects when P. delicatissima is associated with other potentially harmful taxa (e.g. Phaeocystis globosa) during the phytoplankton spring bloom in the eastern English Channel-North Sea ecosystem. © 2014 Elsevier B.V.",English,Article,,Scopus,K,North Sea - CS,0-5,month,NA,month,Physiological Growth Indicators,non-parametric group comparisons,3,1,2,NA,NA,Dicentrarchus labrax,adults,Disease,Growth,weight and length based growth rates,No response,NA,"While no growth impact nor mortality was observed, signs of physiological stress were determined (gill mucus).",BIOTIC
24,w3_sco.147,w_sco.147,"Plir A., Van Der Kooij J., Engelhard G.H., Fox C.J., Milligan S.P., Hunter E.","Sprat feeding behaviour, selective predation, and impact on plaice egg mortality",2012,ICES Journal of Marine Science,69,6,1019,1029,10.1093/icesjms/fss081,NA,"Although the causes of fish egg and larval mortality are poorly understood, predation is thought to be a major contributing factor. The feeding behaviour of sprat at a plaice spawning ground in the Irish Sea during February 2009 is described and their contribution to plaice egg mortality investigated. Acoustic observations and analysis of stomach contents revealed diel behaviour, with dense schools associated with feeding formed during daylight dispersing into thinly spread aggregations at dusk. Of 338 stomachs analysed, 95 contained identifiable prey items. Feeding activity peaked between 10:00 and 18:00, for all food groups. Numerically, gadoid eggs were the most frequently consumed prey (64), followed by copepods (25) and plaice eggs (7). Plaice eggs were present in 91 of the stomachs analysed. Converting stomach content data to daily consumption suggested that sprat may consume 73 of all plaice eggs spawned in the area. Predation by sprat appears to account for a large proportion of plaice egg mortality, so the abundance and distribution of this pelagic predator may have important consequences for the recruitment dynamics of other fish species. Moreover, fish eggs may be an important energy source for sprat during late winter, when alternative prey is scarce. Crown copyright © 2012 For Permissions, please email: journals.permissionsoup.com2012 © Crown copyright © 2012 For Permissions, please email: journals.permissionsoup. com.",English,Article,"All Open Access, Bronze",Scopus,K,Western Waters - CS,"50,000-100,000",week,"5,000-10,000",subday,Irregular Fisheries Independent Survey,GAM,2,1,3,". Predation by sprat appears to account for a large proportion of plaice egg mortality, so the abun-
dance and distribution of this pelagic predator may have important consequences for the recruitment dynamics of other fish species.
Moreover, fish eggs may be an important energy source for sprat during late winter, when alternative prey is scarce.",NA,Pleuronectes platessa,"early life stages (eggs, larvae)",Predator pressure,Survival,Stomach contents of a predator extrapolated to population level,Overall negative response,Large,NA,PREDATOR
25,w3_sco.183,w_sco.183,"Coombs S.H., Halliday N.C., Conway D.V.P., Smyth T.J.","Sardine (Sardina pilchardus) egg abundance at station L4, Western English Channel, 1988-2008",2010,Journal of Plankton Research,32,5,693,697,10.1093/plankt/fbp052,NA,"Results from sampling for sardine (Sardina pilchardus) eggs at station L4 in the coastal Western English Channel over the period 1988-2008 are presented and discussed in relation to environmental conditions. As previously observed in this area, there is a summer spawning season (mid-March to early July) and one in the autumn (early September to mid-November). The historical trend for increasing autumn spawning has continued. The mean spawning temperatures were 12.6 and 14.5°C for the summer and autumn seasons, respectively. Temperature was negatively correlated with summer egg abundance and positively with autumn egg abundance. A negative correlation between egg abundance and the North Atlantic Oscillation index suggested a link between egg numbers and plankton production. © The Author 2010. Published by Oxford University Press. All rights reserved.",English,Article,"All Open Access, Bronze",Scopus,K,Western Waters - CS,0-5,multidecadal,NA,week,Regular Fisheries Independent Survey,Linear correlation hunting,1,3,1,NA,NA,Sardina pilchardus,"early life stages (eggs, larvae)",Temperature,Abundance,NA,Mixed response,Small,responses to temperature where different for summer spawning and autumn spawning stocks and only significant in one instance. This was an exercise in correlation hunting with no apparent significance corrections made.,TEMPERATURE
26,w3_sco.241,w_sco.241,"Geffen A.J., Fox C.J., Nash R.D.M.",Temperature-dependent development rates of cod Gadus morhua eggs,2006,Journal of Fish Biology,69,4,1060,1080,10.1111/j.1095-8649.2006.01181.x,NA,"Temperature development relationships were determined for batches of Irish Sea cod Gadus morhua eggs incubated in flow-through incubators. Hatching began 16.4 days after fertilization (DAF) at 6° C, 10.3 DAF at 8° C, 9.4 DAF at 10° C and 7.4 DAF at 12° C. Egg mortality increased at the higher temperatures, but survival was >80%. Results were compared with published data at four comparable stage end points: the end of blastula, the end of gastrula, the point of growth of the embryo completely surrounding the yolk and the point when 50% of the eggs were hatched. All the studies showed a curvilinear relationship between age at stage and temperature. There was a 12 day inter-study difference in time to 50% hatch at 2° C and 4 day difference at 10° C. There were no consistent trends that differentiated eastern v. western, or northern v. southern populations. A single model for cod egg incubation time from fertilization to 50% hatch was derived based on data from six cod populations, but it is recommended that individual stock relationships should be used where possible. © 2006 The Authors.",English,Article,,Scopus,K,Western Waters - CS,0-5,two week,NA,NA,Physiological Growth Indicators,ANOVA,NA,3,3,NA,NA,Gadus morhua,"early life stages (eggs, larvae)",Temperature,Reproduction,egg survival,Overall negative response,NA,egg survival decreased from 6 to 12�C,TEMPERATURE
27,w3_sco.242,w_sco.242,"Mendiola D., Alvarez P., Cotano U., Etxebeste E., de Murguia A.M.",Effects of temperature on development and mortality of Atlantic mackerel fish eggs,2006,Fisheries Research,80,2-Mar,158,168,10.1016/j.fishres.2006.05.004,NA,"The development of Northeast Atlantic mackerel (Scomber scombrus) eggs, obtained from artificial fertilisation during the spawning season in the Biscay Bay area, was monitored at five temperatures (ranging from 8.6 to 17.8 °C). The times to intermediate stages (III-V) and total hatching, obtained in this study, agree with the results of previous studies undertaken some years ago. However, the times over stages IA, IB and 50% hatching indicate that development rates differed significantly between the studies; this could be related to an effect of the previous thermal history of the eggs, or to experimental biases. Daily mortality (Z) during the embryonic period was found to vary between 0.17 and 0.38, using traditional exponential decay models. The estimates of mortality rate were found to range consistently with those derived from previous studies on Northwest Atlantic mackerel eggs without predation. However, the shape of the survivorship-curve during the development pursued in this study has indicated that mortality is not constant in time. Similarly, the suitability of an exponential model to describe daily mortality should be considered. © 2006 Elsevier B.V. All rights reserved.",English,Article,,Scopus,K,Western Waters - CS,0-5,two week,NA,subday,Physiological Growth Indicators,exponential models of instantaneous mortality,1,3,3,NA,NA,Scomber scombrus,"early life stages (eggs, larvae)",Temperature,Survival,Deaths over time before hatching,No response,NA,"Tested at multiple scales, still no response to temperature.",TEMPERATURE
28,w3_sco.242,w_sco.242,"Mendiola D., Alvarez P., Cotano U., Etxebeste E., de Murguia A.M.",Effects of temperature on development and mortality of Atlantic mackerel fish eggs,2006,Fisheries Research,80,2-Mar,158,168,10.1016/j.fishres.2006.05.004,NA,"The development of Northeast Atlantic mackerel (Scomber scombrus) eggs, obtained from artificial fertilisation during the spawning season in the Biscay Bay area, was monitored at five temperatures (ranging from 8.6 to 17.8 °C). The times to intermediate stages (III-V) and total hatching, obtained in this study, agree with the results of previous studies undertaken some years ago. However, the times over stages IA, IB and 50% hatching indicate that development rates differed significantly between the studies; this could be related to an effect of the previous thermal history of the eggs, or to experimental biases. Daily mortality (Z) during the embryonic period was found to vary between 0.17 and 0.38, using traditional exponential decay models. The estimates of mortality rate were found to range consistently with those derived from previous studies on Northwest Atlantic mackerel eggs without predation. However, the shape of the survivorship-curve during the development pursued in this study has indicated that mortality is not constant in time. Similarly, the suitability of an exponential model to describe daily mortality should be considered. © 2006 Elsevier B.V. All rights reserved.",English,Article,,Scopus,K,Western Waters - CS,0-5,two week,NA,subday,Physiological Growth Indicators,Stage dependent power function with ANOVA and pairwise comparisons,1,3,3,NA,NA,Scomber scombrus,"early life stages (eggs, larvae)",Temperature,Growth,Time to developmental stage,Overall positive response,Large,"Actually reported was development time, which is a form of growth (the best category for the data extraction).",TEMPERATURE
29,w3_sco.333,w_sco.333,"Borja Á., Uriarte A., Valencia V., Motos L., Uriarte A.",Relationships between anchovy (Engraulis encrasicolus L.) recruitment and the environment in the Bay of Biscay,1996,Scientia Marina,60,SUPPL. 2,179,192,10.1046/j.1365-2419.1998.00064.x,NA,"Oceanographic conditions in spring and summer, caused by northerly-easterly winds of medium and low intensity, in the Bay of Biscay seem to induce good levels of recruitment to the anchovy population. This wind regime produces upwelling conditions with, generally, low degrees of turbulence. Indices of upwelling and turbulence were built and proved significantly correlated with an index of annual recruitment of anchovy (p<0.0001). Both physical parameters explain about 70% of the variance in the index of recruitment of the Bay of Biscay anchovy. The likely explanations for this relationship are outlined and discussed in the light of the current hypotheses about the processes determining recruitment of marine populations. Enhancement of the productivity and increased availability of food to the early life history stages of anchovy seem to be the main consequence of the prevalence of weak upwelling conditions in this area during spring.",English,Article,,Scopus,K,Western Waters - CS,">100,000",multidecadal,NA,year,Fisheries Dependent Data,Linear regression,2,3,3,NA,NA,Engraulis encrasicolus,juveniles,Other,Reproduction,Recruitment Index,Overall positive response,Large,Driver: Index of upwelling conditions,Other
30,w3_sco.333,w_sco.333,"Borja Á., Uriarte A., Valencia V., Motos L., Uriarte A.",Relationships between anchovy (Engraulis encrasicolus L.) recruitment and the environment in the Bay of Biscay,1996,Scientia Marina,60,SUPPL. 2,179,192,10.1046/j.1365-2419.1998.00064.x,NA,"Oceanographic conditions in spring and summer, caused by northerly-easterly winds of medium and low intensity, in the Bay of Biscay seem to induce good levels of recruitment to the anchovy population. This wind regime produces upwelling conditions with, generally, low degrees of turbulence. Indices of upwelling and turbulence were built and proved significantly correlated with an index of annual recruitment of anchovy (p<0.0001). Both physical parameters explain about 70% of the variance in the index of recruitment of the Bay of Biscay anchovy. The likely explanations for this relationship are outlined and discussed in the light of the current hypotheses about the processes determining recruitment of marine populations. Enhancement of the productivity and increased availability of food to the early life history stages of anchovy seem to be the main consequence of the prevalence of weak upwelling conditions in this area during spring.",English,Article,,Scopus,K,Western Waters - CS,">100,000",multidecadal,NA,year,Fisheries Dependent Data,Linear regression,2,3,3,NA,NA,Engraulis encrasicolus,juveniles,Other,Reproduction,Recruitment Index,No response,NA,Driver: Wind driven surface water turbulence,Other
